item_id.	79
name_identJP.	高級箪笥
name_identEN.	luxury drawer
item_desc1JP.	\t\tしっとりとした面持ちの格調ある箪笥。人は誰しもこの箪笥の中に隠し財産をしまっておくのだという。\n#～ノースティリス大家具事典～\n
item_desc2JP.	
item_desc3JP.	
item_desc4JP.	\t\t良い素材で作られた箪笥だ。\n#～鑑定報告書：＜家具＞カテゴリ～\n
item_desc1EN.	\t\tA chest of drawers with a dignified and graceful appearance. People say that everyone hides secrets in their chest of drawers.\n#~North Tyris Great Furniture Encyclopedia~\n
item_desc2EN.	
item_desc3EN.	
item_desc4EN.	\t\tChest of drawers made from excellent materials.
